first,last,team,deck
Steve,Reed,28,1998
Pokey,Reese,99,1998
Bryan,Rekar,20,1998
Desi,Relaford,99,1998
Mike,Remlinger,6,1998
Edgar,Renteria,2,1998
Kirk,Rueter,24,1998
Al,Reyes,25,1998
Carlos,Reyes,25,1998
Dennis,Reyes,6,1998
Shane,Reynolds,5,1998
Armando,Reynoso,16,1998
Arthur,Rhodes,29,1998
Todd,Richie,99,1998
Ricardo,Rincon,15,1998
Cal,Ripken Jr.,99,1998
Bill,Risley,1,1998
Mariano,Rivera,12,1998
Ruben,Rivera,99,1998
Bip,Roberts,99,1998
John,Rocker,27,1998
Alex,Rodriguez,8,1998
Felix,Rodriguez,99,1998
Frankie,Rodriguez,99,1998
Henry,Rodriguez,99,1998
Ivan,Rodriguez,4,1998
Nerio,Rodriguez,99,1998
Rich,Rodriguez,18,1998
Kenny,Rogers,25,1998
Mel,Rojas,99,1998
Scott,Rolen,3,1998
Rafael,Roque,11,1998
Jose,Rosado,11,1998
Rico,Rossy,99,1998
Sean,Runyan,10,1998
Glendon,Rusch,99,1998
Bret,Saberhagen,8,1998
Donnie,Sadler,99,1998
A.J.,Sager,99,1998
Tim,Salmon,15,1998
Juan,Samuel,99,1998
Jesus,Sanchez,3,1998
Rey,Sanchez,1,1998
Reggie,Sanders,99,1998
Scott,Sanders,21,1998
Julio,Santana,3,1998
F.P.,Santangelo,99,1998
Benito,Santiago,9,1998
Tony,Saunders,22,1998
Bob,Scanlan,13,1998
Curt,Schilling,8,1998
Jason,Schmidt,11,1998
Pete,Schourek,21,1998
Rudy,Seanez,10,1998
Kevin,Sefcik,13,1998
David,Segui,19,1998
Aaron,Sele,30,1998
Dan,Serafini,99,1998
Scott,Servais,99,1998
Scott,Service,9,1998
Richie,Sexson,23,1998
Jon,Shave,99,1998
Jeff,Shaw,25,1998
Andy,Sheets,99,1998
Gary,Sheffield,14,1998
Craig,Shipley,99,1998
Paul,Shuey,7,1998
Terry,Shumpert,99,1998
Joe,Siddall,99,1998
Ruben,Sierra,99,1998
Jose,Silva,30,1998
Bill,Simas,23,1998
Mike,Simms,25,1998
Mike,Sirotka,22,1998
Heathcliff,Slocumb,99,1998
Aaron,Small,9,1998
Bobby,Smith,1,1998
Mark,Smith,99,1998
Pete,Smith,2,1998
John,Smoltz,23,1998
Chris,Snopek,99,1998
J.T.,Snow,99,1998
John,Snyder,3,1998
Clint,Sodowsky,99,1998
Luis,Sojo,99,1998
Paul,Sorrento,99,1998
Sammy,Sosa,23,1998
Steve,Sparks,21,1998
Stan,Spencer,2,1998
Bill,Spiers,22,1998
Scott,Spiezio,99,1998
Paul,Spoljaric,99,1998
Jerry,Spradlin,16,1998
Ed,Sprague,99,1998
Dennis,Springer,99,1998
Russ,Springer,23,1998
Matt,Stairs,11,1998
Rob,Stanifer,99,1998
Andy,Stankiewicz,99,1998
Mike,Stanley,99,1998
Mike,Stanton,99,1998
Blake,Stein,99,1998
Terry,Steinbach,21,1998
Dave,Stevens,21,1998
Lee,Stevens,99,1998
Shannon,Stewart,1,1998
Dave,Stieb,1,1998
Kelly,Stinnett,22,1998
Kevin,Stoker,99,1998
Todd,Stottlemyre,26,1998
Doug,Strange,99,1998
Darryl,Strawberry,99,1998
Chris,Stynes,99,1998
Scott,Sullivan,6,1998
B.J.,Surhoff,6,1998
Larry,Sutton,99,1998
Mac,Suzuki,99,1998
Dale,Sveum,99,1998
Mark,Sweeney,99,1998
Mike,Sweeney,1,1998
Bill,Swift,99,1998
Greg,Swindell,16,1998
Jeff,Tabaka,26,1998
Kevin,Tapani,3,1998
Fernando,Tatis,17,1998
Eddie,Taubensee,15,1998
Julian,Tavarez,15,1998
Billy,Taylor,8,1998
Miguel,Tejada,99,1998
Amaury,Telemaco,7,1998
Anthony,Telford,29,1998
Bob,Tewksbury,20,1998
Frank,Thomas,99,1998
Jim,Thome,22,1998
Justin,Thompson,20,1998
Mark,Thompson,99,1998
John,Thomson,30,1998
Mike,Thurman,3,1998
Mike,Timlin,29,1998
Brett,Tomko,6,1998
Steve,Trachsel,11,1998
Bubba,Trammell,3,1998
Mike,Trombley,15,1998
Michael,Tucker,99,1998
Ugueth,Urbina,16,1998
Ismael,Valdes,16,1998
Marc,Valdes,99,1998
Javier,Valentin,99,1998
John,Valentin,99,1998
Jose,Valentin,99,1998
John,Vander Wal,30,1998
Jason,Varitek,30,1998
Greg,Vaughn,24,1998
Mo,Vaughn,8,1998
Javier,Vazquez,99,1998
Randy,Velarde,99,1998
Robin,Ventura,99,1998
Quilvio,Veras,99,1998
Dave,Veres,25,1998
Jose,Vidro,99,1998
Ron,Villone,99,1998
Fernando,Vina,16,1998
Jose,Vizcaino,99,1998
Omar,Vizquel,24,1998
Billy,Wagner,8,1998
Paul,Wagner,99,1998
Tim,Wakefield,1,1998
Matt,Walbeck,6,1998
Larry,Walker,26,1998
Todd,Walker,29,1998
Donne,Wall,9,1998
Turner,Ward,99,1998
John,Wasdin,3,1998
Jarrod,Washburn,30,1998
Pat,Watkins,99,1998
Allen,Watson,99,1998
Dave,Weathers,24,1998
Lenny,Webster,8,1998
John,Wehner,99,1998
Walt,Weiss,6,1998
Bob,Wells,99,1998
David,Wells,14,1998
Turk,Wendell,5,1998
Don,Wengert,6,1998
John,Wetteland,18,1998
Matt,Whisenant,20,1998
Devon,White,22,1998
Gabe,White,14,1998
Rick,White,17,1998
Rondell,White,18,1998
Mark,Whiten,20,1998
Bob,Wickman,23,1998
Chris,Widger,99,1998
Bernie,Williams,23,1998
Gerald,Williams,27,1998
Matt,Williams,99,1998
Mike,Williams,12,1998
Woody,Williams,30,1998
Dan,Wilson,3,1998
Enrique,Wilson,10,1998
Scott,Winchester,99,1998
Randy,Winn,2,1998
Bob,Wolcott,99,1998
Tony,Womack,20,1998
Kerry,Wood,27,1998
Brad,Woodall,21,1998
Steve,Woodard,1,1998
Tim,Worrell,11,1998
Jamey,Wright,99,1998
Jaret,Wright,21,1998
Esteban,Yan,10,1998
Masato,Yoshii,26,1998
Dmitri,Young,5,1998
Eric,Young,22,1998
Kevin,Young,3,1998
Gregg,Zaun,99,1998
Todd,Zeile,11,1998
