game_id,team_id,player_id,first_name,last_name,start,order,pos,ab,r,h,rbi,so,bb,hbp,sac,sb,do,tr,hr
1,19,1101,Rickey,Henderson,1,1,7,4,1,1,0,2,0,0,0,0,1,0,0
1,19,1225,John,Ward,1,2,6,4,0,2,0,0,0,0,0,0,0,0,0
1,19,1208,Mule,Suttles,1,3,3,4,1,1,1,0,0,0,0,0,0,0,0
1,19,1042,Ty,Cobb,1,4,8,4,0,2,1,0,0,0,0,0,0,1,0
1,19,1114,Judy,Johnson,1,5,5,3,0,0,0,1,0,0,0,0,0,0,0
1,19,1006,Luke,Appling,1,6,10,4,0,0,0,0,0,0,0,0,0,0,0
1,19,1190,Louis,Santop,1,7,2,4,0,0,0,2,0,0,0,0,0,0,0
1,19,1056,Andre,Dawson,1,8,9,3,0,1,0,0,0,0,0,0,0,0,0
1,19,1188,Ryne,Sandberg,1,9,4,3,0,1,0,1,0,0,0,0,0,0,0
1,23,2074,Craig,Biggio,1,1,4,3,2,2,0,0,0,1,0,1,2,0,0
1,23,2804,Bernie,Williams,1,2,8,4,1,1,1,1,1,0,0,0,0,0,0
1,23,2537,John,Olerud,1,3,3,4,0,4,2,0,0,0,0,0,0,0,0
1,23,2083,Barry,Bonds,1,4,7,4,0,0,0,1,0,0,0,0,0,0,0
1,23,2058,Albert,Belle,1,5,10,4,1,1,1,1,0,0,0,0,0,0,1
1,23,2696,Sammy,Sosa,1,6,9,3,1,1,1,1,1,0,0,0,0,0,1
1,23,2579,Mike,Piazza,1,7,2,4,0,1,0,1,0,0,0,0,0,0,0
1,23,2242,Nomar,Garciaparra,1,8,6,4,1,1,0,1,0,0,0,0,0,0,0
1,23,2129,Vinny,Castilla,1,9,5,3,0,0,0,0,1,0,0,0,0,0,0
2,10,1031,Rod,Carew,1,1,4,6,0,1,0,0,0,0,0,0,0,0,0
2,10,1075,Elmer,Flick,1,2,9,6,1,2,1,0,0,0,0,0,0,0,0
2,10,1146,Willie,Mays,1,3,8,4,0,0,0,0,2,0,0,0,0,0,0
